,马克思主义,哲学,宗教学,语言学
0,外国文学,艺术学,历史学,考古学
1,政治学,国际问题,台港澳问题,法学
2,民族学,新闻学与传播学,图书馆、情报与文献学,教育学
3,统计学,心理学,社科总论,高校综合性社科学报
4,管理学,中国文学,经济学,社会学
5,人文、经济地理,环境科学,体育学,党的理论刊物
6,管理学(22种),,,
7,战略与管理,人才开发*,中外管理,管理现代化
8,管理工程学报,中国管理科学,中国行政管理,管理世界
9,中国科技论坛,科学学与科学技术管理,科学管理研究,科研管理
10,科技进步与对策,软科学,科学学研究,中国软科学
11,经济管理,改革,经济体制改革,改革与理论
12,预测,未来与发展*,,
13,马克思主义(9种),,,
14,毛泽东邓小平理论研究,马克思主义与现实,毛泽东思想研究,马克思主义研究
15,科学社会主义,社会主义研究,当代世界社会主义问题,教学与研究
16,当代世界与社会主义,,,
17,哲学(8种),,,
18,哲学研究,自然辩证法通讯,自然辩证法研究,中国哲学史*
19,科学技术与辩证法,孔子研究,哲学动态,道德与文明*
20,宗教学 (4种),,,
21,中国穆斯林,宗教学研究,中国道教,世界宗教研究
22,语言学(30种),,,
23,中国语文,外语教学与研究,语文建设,解放军外国语学院学报
24,辞书研究,日语学习与研究,语言教学与研究,中国翻译
25,民族语文,方言,外国语,当代语言学
26,外语界,外语与外语教学,修辞学习,上海科技翻译
27,外语学刊,语文研究,古汉语研究,现代外语
28,语言研究,外语教学,语言与翻译,世界汉语教学
29,汉字文化,中国俄语教学,语言文字应用,汉语学习
30,中国科技翻译*,外语研究*,,
31,中国文学(19种),,,
32,文艺研究,文学评论,民族文学研究,小说评论
33,文艺理论研究,中国比较文学*,当代作家评论,鲁迅研究月刊
34,文艺争鸣,文艺评论,红楼梦学刊,文艺理论与批评
35,文学遗产,明清小说研究,当代文坛,新文学史料
36,中国现代文学研究丛刊,东方文化,东南文化,
37,外国文学 (5种),,,
38,外国文学研究,当代外国文学,国外文学,外国文学
39,外国文学评论,,,
40,艺术学(18种),,,
41,人民音乐*,美术,美术研究,音乐研究
42,中国音乐,电影艺术,中国书法,音乐艺术
43,戏剧艺术,新美术,书法研究,北京电影学院学报
44,美苑,中国音乐学,戏剧,当代电影
45,中央音乐学院学报,黄钟,,
46,历史学 (27种),,,
47,历史档案,中国史研究,史林,抗日战争研究
48,史学理论研究,西域研究,中国史研究动态,史学史研究
49,民国档案,中国经济史研究,故宫博物院院刊,历史研究
50,史学月刊,华侨华人历史研究,史学集刊,清史研究
51,中国农史,中国历史博物馆馆刊,近代史研究,世界历史
52,中国边疆史地研究,中国地方志,中国社会经济史研究,当代中国史研究
53,中国文化研究,传统文化与现代化,军事历史研究,
54,考古学(5种),,,
55,文物,考古学报,考古,考古与文物
56,敦煌研究,,,
57,经济学(68种),,,
58,亚太经济,国际金融研究,经济社会体制比较,经济理论与经济管理
59,农业经济问题,经济研究,经济与管理研究,民族经济与社会发展
60,财经研究,价格理论与实践,经济科学,会计研究
61,财贸经济,中国农村经济,经济学动态,上海会计
62,南开经济研究,外国经济与管理,农业经济,国际经贸探索
63,中国土地科学,财经问题研究,世界经济研究,税务与经济
64,商业研究,世界经济,当代经济研究,宏观经济研究*
65,现代日本经济,财务与会计,金融研究,山西财经大学学报
66,中国金融,经济问题,生产力研究,数量经济技术经济研究
67,审计研究,财经论丛,商业经济与管理,上海金融
68,中国经济问题,世界经济与政治,福建论坛(经社版),北京商学院学报
69,涉外税务,经济评论,消费经济,中南财经大学学报
70,当代财经,世界经济文汇,国际经济合作,当代经济科学
71,新疆社会经济,财政研究,财经科学,经济学家
72,国际贸易*,经济问题探索,国际商务,投资研究
73,林业经济,中国工业经济,中央财经大学学报,国际经济评论*
74,中国国情国力*,商业经济研究,金融科学:中国金融学院学报,国际贸易问题*
75,政治学(15种),,,
76,妇女研究论丛,当代青年研究,中国青年研究,中央社会主义学院学报
77,中国统一战线,青年研究,南京政治学院学报,党的文献
78,百年潮,北京党史,中国特色社会主义研究,中国青年政治学院学报
79,政治学研究,中共党史研究,中国军事科学,
80,国际问题(13种),,,
81,国际问题研究,西亚非洲,日本研究,现代国际关系
82,国际关系学院学报,拉丁美洲研究,东欧中亚研究,外交学院学报
83,日本学刊,欧洲,美国研究,南亚研究
84,日本学论坛,,,
85,台港澳问题(2种),,,
86,台湾研究,台湾研究集刊,,
87,法学(21种),,,
88,中外法学,法学研究,法学,中国法学
89,政法论丛,政治与法律,行政法学研究,比较法研究
90,现代法学,法学家,法商研究,法学评论
91,法律科学,知识产权,政法论坛,法学杂志*
92,中国监狱学刊,中央政法管理干部学院学报,著作权*,法制与社会发展*
93,公安大学学报,,,
94,社会学(8种),,,
95,社会学研究,人口学刊,市场与人口分析,中国人口科学
96,人口与经济,人口研究,中国人口·资源与环境,社会学*
97,民族学(17种),,,
98,西南民族学院学报,民俗研究*,中国藏学,中南民族学院学报(哲社版)
99,中央民族大学学报,世界民族,民族研究,云南民族学院学报(哲社版)
100,黑龙江民族丛刊,满族研究,回族研究,贵州民族研究
101,广西民族研究,青海民族研究,西藏民族学院学报(社科版),西北民族学院学报(哲社版)
102,西北民族研究,,,
103,新闻学与传播学(17种),,,
104,现代传播,中国图书评论,新闻界,编辑学刊
105,出版发行研究,新闻大学,新闻与传播研究,中国出版
106,科技与出版,编辑学报,中国广播电视学刊,新闻战线
107,读书,中国记者*,国际新闻界*,中国科技期刊研究*
108,民间文化,,,
109,图书馆、情报与文献学(25种),,,
110,江苏图书馆学报,中国档案,中国图书馆学报,图书情报工作
111,图书馆杂志,图书馆工作与研究,情报科学,图书馆建设
112,图书情报知识,图书馆,图书馆论坛,情报杂志
113,图书与情报,图书馆理论与实践,四川图书馆学报,档案学通讯
114,情报资料工作,情报学报,现代图书情报技术,情报理论与实践
115,大学图书馆学报,档案学研究,图书馆学研究,文献*
116,中国典籍与文化,,,
117,教育学(19种),,,
118,清华大学教育研究,中国高等教育*,中国高教研究,课程·教材·教法
119,比较教育研究,高等教育研究,教育研究,教育发展研究
120,学位与研究生教育,中国教育学刊,外国教育研究,教育理论与实践
121,教育研究与实验,江苏高教,教育评论,外国教育资料
122,高等师范教育研究,中国大学教学,华东师范大学学报(教科版),
123,体育学(10种),,,
124,上海体育学院学报,沈阳体育学院学报,体育与科学,体育科学
125,武汉体育学院学报,广州体育学院学报,西安体育学院学报,成都体育学院学报
126,北京体育大学学报,天津体育学院学报*,,
127,统计学(3种),,,
128,统计与预测,统计研究,数理统计与管理,
129,心理学(7种),,,
130,应用心理学,心理科学,心理学探新,心理学报
131,中国心理卫生杂志,心理发展与教育,心理学动态,
132,社科总论(53种),,,
133,学术季刊,西藏研究,国外社会科学,东南学术
134,中国社会科学,江汉论坛,学术月刊,社会科学
135,天津社会科学,北京社会科学,理论界,社会科学辑刊
136,社会科学战线,高校理论战线,社会科学研究,新疆社科论坛
137,学习与探索,学术交流,黑龙江社会科学,内蒙古社会科学
138,河北学刊,晋阳学刊,文史哲,贵州社会科学
139,云南社会科学,东岳论丛,宁夏社会科学,山东社会科学
140,江淮论坛,学术界,江海学刊,南京社会科学
141,江苏社会科学,浙江学刊,浙江社会科学,福建论坛(文史哲版)
142,中州学刊,理论月刊,湖北社会科学,中国社会科学院研究生院学报
143,青海社会科学,求索,江西社会科学,兰州学刊
144,学术研究,广东社会科学,学术论坛,社会科学家
145,广西社会科学,人文杂志,甘肃社会科学,科学·经济·社会
146,世界经济与政治论坛,,,
147,高校综合性社科学报(57种),,,
148,北京大学学报(哲社版),西北师大学报(社科版),华东师范大学学报(哲社版),复旦学报(社科版)
149,上海大学学报(社科版),天津师大学报(社科版),南开学报(哲社版),辽宁大学学报(哲社版)
150,辽宁师范大学学报(社科版),吉林大学社会科学学报,东北师大学报(哲社版),内蒙古大学学报(哲社版)
151,河北师范大学学报(哲社版),河北大学学报(哲社版),山西大学学报(哲社版),山东大学学报(哲社版)
152,安徽大学学报(哲社版),南京大学学报(社科版),南京师大学报(社科版),苏州大学学报(哲社版)
153,浙江大学学报(社科版),厦门大学学报(哲社版),福建师范大学学报(哲社版)*,郑州大学学报(哲社版)
154,河南师范大学学报(哲社版),武汉大学学报(哲社版),华中师范大学学报(哲社版),华中理工大学学报(社科版)
155,暨南学报(哲社版),湘潭大学学报(哲学版),南昌大学学报(人文社科版),广西大学学报(哲社版)
156,北京师范大学学报(社科版),西北大学学报(哲社版),中山大学学报(社科版),西安交通大学学报(社科版)
157,兰州大学学报(社科版),青海师范大学学报(哲社版),陕西师范大学学报(哲社版),四川大学学报(哲社版)
158,贵州大学学报(社科版),宁夏大学学报(社科版),西南师范大学学报(哲社版),中国人民大学学报
159,清华大学学报(哲社版),海南大学学报(社科版),新疆大学学报(哲社版),思想战线
160,齐鲁学刊,求是学刊,北方论丛,湖南师大学报(社科版)*
161,华南师范大学学报(社科版)*,安徽师大学报(社科版)*,上海师范大学学报(社科版)*,山东师范大学学报(社科版)*
162,湖北大学学报(哲社版)*,,,
163,党的理论刊物(10种),,,
164,求是,中共中央党校学报,理论学刊,探索
165,长白学刊,唯实,理论与改革,理论前沿*
166,理论探讨,甘肃理论学刊,,
167,人文、经济地理(7种),,,
168,人文地理,城市规划*,城市规划汇刊*,地理学与国土研究
169,旅游学刊,经济地理,地域研究与开发,
170,环境科学(7种),,,
171,中国环境监测,环境与健康杂志,环境污染与防治,中国环境管理*
172,自然资源学报,环境保护,城市环境与城市生态,
